Sheet,Metric,Architecture 1,Architecture 2,MW_U_Stat,MW_p_val,KS_D_Stat,KS_p_val,MW_Sig (p<0.05),KS_Sig (p<0.05)
162,Mean_Eq,PINN Baseline,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Eq,DC3,FSNet,24.0,0.0159,0.8,0.0794,True,False
162,Mean_Eq,DC3,KKT,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Eq,DC3,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Eq,FSNet,KKT,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Eq,FSNet,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Eq,KKT,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Max_Ineq,PINN Baseline,DC3,0.0,0.0079,1.0,0.0079,True,True
162,Max_Ineq,PINN Baseline,FSNet,0.0,0.0079,1.0,0.0079,True,True
162,Max_Ineq,PINN Baseline,KKT,25.0,0.0079,1.0,0.0079,True,True
162,Max_Ineq,PINN Baseline,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Max_Ineq,DC3,FSNet,23.0,0.0317,0.8,0.0794,True,False
162,Max_Ineq,DC3,KKT,25.0,0.0079,1.0,0.0079,True,True
162,Max_Ineq,DC3,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Max_Ineq,FSNet,KKT,25.0,0.0079,1.0,0.0079,True,True
162,Max_Ineq,FSNet,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Max_Ineq,KKT,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Ineq,PINN Baseline,DC3,0.0,0.0079,1.0,0.0079,True,True
162,Mean_Ineq,PINN Baseline,FSNet,0.0,0.0079,1.0,0.0079,True,True
162,Mean_Ineq,PINN Baseline,KKT,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Ineq,PINN Baseline,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Ineq,DC3,FSNet,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Ineq,DC3,KKT,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Ineq,DC3,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Ineq,FSNet,KKT,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Ineq,FSNet,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Mean_Ineq,KKT,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,MAE_v,PINN Baseline,DC3,15.0,0.6905,0.6,0.3571,False,False
162,MAE_v,PINN Baseline,FSNet,15.0,0.6905,0.6,0.3571,False,False
162,MAE_v,PINN Baseline,KKT,25.0,0.0079,1.0,0.0079,True,True
162,MAE_v,PINN Baseline,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,MAE_v,DC3,FSNet,20.0,0.1508,0.6,0.3571,False,False
162,MAE_v,DC3,KKT,25.0,0.0079,1.0,0.0079,True,True
162,MAE_v,DC3,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,MAE_v,FSNet,KKT,25.0,0.0079,1.0,0.0079,True,True
162,MAE_v,FSNet,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,MAE_v,KKT,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,MAE_pg,PINN Baseline,DC3,25.0,0.0079,1.0,0.0079,True,True
162,MAE_pg,PINN Baseline,FSNet,25.0,0.0079,1.0,0.0079,True,True
162,MAE_pg,PINN Baseline,KKT,25.0,0.0079,1.0,0.0079,True,True
162,MAE_pg,PINN Baseline,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,MAE_pg,DC3,FSNet,0.0,0.0079,1.0,0.0079,True,True
162,MAE_pg,DC3,KKT,0.0,0.0079,1.0,0.0079,True,True
162,MAE_pg,DC3,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,MAE_pg,FSNet,KKT,13.0,1.0,0.4,0.873,False,False
162,MAE_pg,FSNet,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,MAE_pg,KKT,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,MAE_qg,PINN Baseline,DC3,25.0,0.0079,1.0,0.0079,True,True
162,MAE_qg,PINN Baseline,FSNet,25.0,0.0079,1.0,0.0079,True,True
162,MAE_qg,PINN Baseline,KKT,25.0,0.0079,1.0,0.0079,True,True
162,MAE_qg,PINN Baseline,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,MAE_qg,DC3,FSNet,0.0,0.0079,1.0,0.0079,True,True
162,MAE_qg,DC3,KKT,0.0,0.0079,1.0,0.0079,True,True
162,MAE_qg,DC3,Rahul's Model,4.0,0.0952,0.6,0.3571,False,False
162,MAE_qg,FSNet,KKT,0.0,0.0079,1.0,0.0079,True,True
162,MAE_qg,FSNet,Rahul's Model,15.0,0.6905,0.6,0.3571,False,False
162,MAE_qg,KKT,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Time_s,PINN Baseline,DC3,9.0,0.5476,0.4,0.873,False,False
162,Time_s,PINN Baseline,FSNet,13.0,1.0,0.2,1.0,False,False
162,Time_s,PINN Baseline,KKT,0.0,0.0079,1.0,0.0079,True,True
162,Time_s,PINN Baseline,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
162,Time_s,DC3,FSNet,18.0,0.3095,0.4,0.873,False,False
162,Time_s,DC3,KKT,0.0,0.0079,1.0,0.0079,True,True
162,Time_s,DC3,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
162,Time_s,FSNet,KKT,0.0,0.0079,1.0,0.0079,True,True
162,Time_s,FSNet,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
162,Time_s,KKT,Rahul's Model,16.0,0.5476,0.4,0.873,False,False
300,Obj. Error (%),PINN Baseline,DC3,21.0,0.0952,0.8,0.0794,False,False
300,Obj. Error (%),PINN Baseline,FSNet,25.0,0.0079,1.0,0.0079,True,True
300,Obj. Error (%),PINN Baseline,KKT,21.0,0.0952,0.6,0.3571,False,False
300,Obj. Error (%),PINN Baseline,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
300,Obj. Error (%),DC3,FSNet,25.0,0.0079,1.0,0.0079,True,True
300,Obj. Error (%),DC3,KKT,19.0,0.2222,0.6,0.3571,False,False
300,Obj. Error (%),DC3,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
300,Obj. Error (%),FSNet,KKT,0.0,0.0079,1.0,0.0079,True,True
300,Obj. Error (%),FSNet,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
300,Obj. Error (%),KKT,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
300,Max_Eq,PINN Baseline,DC3,0.0,0.0079,1.0,0.0079,True,True
300,Max_Eq,PINN Baseline,FSNet,0.0,0.0079,1.0,0.0079,True,True
300,Max_Eq,PINN Baseline,KKT,5.0,0.1508,0.8,0.0794,False,False
300,Max_Eq,PINN Baseline,Rahul's Model,20.0,0.1508,0.8,0.0794,False,False
